iter	Logloss
0	0.4914894206
1	0.3820935465
2	0.314081582
3	0.2806582269
4	0.2577128347
5	0.244523763
6	0.2323089108
7	0.2247327287
8	0.2191480594
9	0.2143790877
10	0.2100707075
11	0.2063621538
12	0.2035735982
13	0.2013439348
14	0.1991593967
15	0.1973111894
16	0.194304974
17	0.1925005578
18	0.1911372681
19	0.1900858256
20	0.1883497348
21	0.1862969411
22	0.1849051005
23	0.183763187
24	0.1829038205
25	0.1822772912
26	0.1811481196
27	0.1804685279
28	0.1800233281
29	0.1783471781
30	0.1778068432
31	0.1772929662
32	0.1766486299
33	0.1763037703
34	0.1759979197
35	0.1756112679
36	0.1745349274
37	0.1741406021
38	0.173649353
39	0.172916598
40	0.1726407691
41	0.1723140182
42	0.1716373867
43	0.1713952849
44	0.1710748681
45	0.1709067637
46	0.1705209859
47	0.1702214847
48	0.1699436595
49	0.1697356466
50	0.1694107073
51	0.1690102683
52	0.1687736155
53	0.1686221695
54	0.1682946192
55	0.1679396142
56	0.1677676858
57	0.1670193973
58	0.1668166495
59	0.1659660365
60	0.1658477749
61	0.165680286
62	0.1654048572
63	0.1652396427
64	0.1651509747
65	0.1649794981
66	0.1648507487
67	0.1645811827
68	0.1640539118
69	0.1638219884
70	0.1636744834
71	0.1633132824
72	0.1631998418
73	0.1630202323
74	0.1628280572
75	0.1627502119
76	0.1626671032
77	0.1625684882
78	0.1624800169
79	0.1622766647
80	0.1619964744
81	0.1618484294
82	0.161731408
83	0.1616042023
84	0.1614418199
85	0.1612060598
86	0.1610727056
87	0.1608522017
88	0.1606645075
89	0.1604473097
90	0.160361145
91	0.1601890293
92	0.1600858231
93	0.1598527451
94	0.1597349387
95	0.1595833757
96	0.1594518314
97	0.1592376073
98	0.1589482837
99	0.1587764579
100	0.1586592306
101	0.1585137566
102	0.1583202616
103	0.1581742138
104	0.1579487211
105	0.1577047721
106	0.157582066
107	0.1574280489
108	0.1573012661
109	0.1571817076
110	0.157086725
111	0.1569285736
112	0.1567738088
113	0.1565279728
114	0.156314693
115	0.1562044881
116	0.155900617
117	0.1558073391
118	0.1556129159
119	0.1554643733
120	0.1552264489
121	0.1550584149
122	0.1548475537
123	0.1547288047
124	0.1544542287
125	0.1543270501
126	0.1542056715
127	0.1541287587
128	0.1538110953
129	0.1536185133
130	0.1533075189
131	0.1530204917
132	0.1528852819
133	0.1526312798
134	0.1525145018
135	0.1523683912
136	0.1522541385
137	0.1520292138
138	0.1519289017
139	0.1517707299
140	0.1516652518
141	0.1514457999
142	0.1513137817
143	0.1511362008
144	0.150975775
145	0.1508492033
146	0.1506917275
147	0.150548417
148	0.1503655048
149	0.1502154634
150	0.149881045
151	0.1497425995
152	0.1495968594
153	0.1494660475
154	0.149353263
155	0.1492153651
156	0.1490031645
157	0.1488255378
158	0.1486040963
159	0.1484820116
160	0.1482378879
161	0.1481099124
162	0.1478866331
163	0.1476993239
164	0.1475147171
165	0.1473565682
166	0.1472240067
167	0.1470617133
168	0.1468415553
169	0.1467304221
170	0.146551651
171	0.1463350915
172	0.1462266685
173	0.1460637605
174	0.1459656431
175	0.1458068246
176	0.1457004895
177	0.1455534431
178	0.1453225106
179	0.1451955388
180	0.1450998815
181	0.1448813468
182	0.1447001699
183	0.1444725308
184	0.1443682582
185	0.1442437558
186	0.1439354791
187	0.143803766
188	0.1435878542
189	0.1434374279
190	0.1432879367
191	0.1431037979
192	0.1429290975
193	0.1427249815
194	0.1426075194
195	0.1424462696
196	0.1422680122
197	0.1421295039
198	0.1420176587
199	0.1418811595
