iter	Passed	Remaining
0	146	29089
1	173	17201
2	194	12754
3	210	10329
4	224	8773
5	236	7645
6	246	6806
7	257	6170
8	267	5676
9	277	5270
10	287	4947
11	299	4690
12	309	4455
13	319	4240
14	329	4060
15	339	3905
16	349	3762
17	359	3630
18	368	3513
19	379	3412
20	389	3315
21	399	3230
22	409	3154
23	421	3089
24	432	3024
25	442	2961
26	453	2903
27	462	2842
28	472	2785
29	483	2739
30	493	2691
31	504	2647
32	514	2601
33	524	2560
34	534	2521
35	545	2486
36	556	2452
37	565	2411
38	576	2379
39	585	2342
40	595	2307
41	605	2278
42	616	2249
43	626	2219
44	635	2189
45	645	2162
46	654	2131
47	664	2104
48	674	2078
49	683	2050
50	693	2025
51	702	1999
52	712	1976
53	721	1951
54	731	1927
55	741	1906
56	751	1884
57	760	1862
58	771	1843
59	780	1820
60	790	1801
61	800	1780
62	810	1762
63	820	1742
64	830	1725
65	839	1704
66	848	1684
67	857	1665
68	866	1645
69	876	1627
70	885	1609
71	894	1589
72	902	1570
73	913	1554
74	922	1537
75	931	1519
76	939	1501
77	948	1483
78	957	1467
79	966	1450
80	976	1434
81	985	1417
82	995	1402
83	1003	1386
84	1012	1369
85	1021	1354
86	1030	1338
87	1039	1322
88	1048	1308
89	1058	1293
90	1068	1280
91	1077	1264
92	1086	1249
93	1095	1235
94	1104	1221
95	1114	1207
96	1123	1192
97	1132	1178
98	1140	1164
99	1149	1149
100	1158	1135
101	1167	1122
102	1176	1108
103	1185	1094
104	1194	1081
105	1205	1068
106	1213	1054
107	1222	1041
108	1231	1028
109	1241	1015
110	1249	1001
111	1258	988
112	1267	975
113	1276	962
114	1285	950
115	1294	937
116	1305	926
117	1316	914
118	1324	901
119	1334	889
120	1344	877
121	1353	865
122	1362	853
123	1371	840
124	1380	828
125	1389	815
126	1398	803
127	1406	791
128	1415	779
129	1424	767
130	1433	755
131	1442	743
132	1451	731
133	1461	719
134	1471	708
135	1480	696
136	1489	684
137	1498	673
138	1507	661
139	1516	649
140	1525	638
141	1534	626
142	1543	615
143	1552	603
144	1561	592
145	1570	580
146	1579	569
147	1587	557
148	1596	546
149	1605	535
150	1614	523
151	1623	512
152	1632	501
153	1641	490
154	1650	479
155	1659	467
156	1667	456
157	1677	445
158	1686	434
159	1694	423
160	1704	412
161	1713	401
162	1721	390
163	1730	379
164	1739	369
165	1749	358
166	1759	347
167	1768	336
168	1776	325
169	1786	315
170	1795	304
171	1805	293
172	1815	283
173	1823	272
174	1832	261
175	1841	251
176	1850	240
177	1858	229
178	1868	219
179	1876	208
180	1885	197
181	1894	187
182	1903	176
183	1912	166
184	1921	155
185	1930	145
186	1939	134
187	1948	124
188	1958	113
189	1966	103
190	1975	93
191	1985	82
192	1994	72
193	2003	61
194	2012	51
195	2021	41
196	2030	30
197	2040	20
198	2049	10
199	2058	0
