iter	Logloss
0	0.5852319438
1	0.5062256809
2	0.4413872002
3	0.3942583788
4	0.3561971537
5	0.3279236094
6	0.3073991716
7	0.2902396139
8	0.2761632165
9	0.2649405908
10	0.2566504296
11	0.2495020718
12	0.243892824
13	0.2386365746
14	0.2337290972
15	0.2300338864
16	0.2267661048
17	0.2233913337
18	0.2204913144
19	0.2177643907
20	0.215590939
21	0.2127824639
22	0.2108245765
23	0.2093685269
24	0.2074767405
25	0.2061608904
26	0.2047158898
27	0.2034872487
28	0.2023461524
29	0.201018141
30	0.1999297197
31	0.1988425022
32	0.1979336361
33	0.1970410529
34	0.1963944177
35	0.1956671431
36	0.1947439151
37	0.1939616581
38	0.1929160936
39	0.1919163344
40	0.1911682315
41	0.1906526744
42	0.1901386414
43	0.1887065311
44	0.1882215542
45	0.1874679294
46	0.186688207
47	0.1862323371
48	0.1857735019
49	0.1852427148
50	0.1850170627
51	0.1846673313
52	0.1842057512
53	0.1836868032
54	0.1831861199
55	0.1825855976
56	0.1822791765
57	0.1818151635
58	0.1814769652
59	0.181193651
60	0.1810020786
61	0.1808167911
62	0.1797853817
63	0.1794291331
64	0.1790834478
65	0.1787838253
66	0.1784195887
67	0.1778086522
68	0.177526396
69	0.1767056876
70	0.1763329018
71	0.1757015474
72	0.1755038537
73	0.1752051748
74	0.1749998974
75	0.1748087251
76	0.174418229
77	0.1741726956
78	0.1739394633
79	0.1735263494
80	0.1731555227
81	0.1730310237
82	0.172783922
83	0.1726508713
84	0.1724974772
85	0.1723538759
86	0.1721411803
87	0.1720197839
88	0.1719112303
89	0.1717924915
90	0.1716604877
91	0.1715231722
92	0.1714215758
93	0.1708333528
94	0.1706369256
95	0.1705316832
96	0.1704273877
97	0.170335595
98	0.1701438734
99	0.170000312
100	0.1699095645
101	0.1697874959
102	0.1696007512
103	0.1694878464
104	0.1693091693
105	0.1690169525
106	0.1688428819
107	0.1687555423
108	0.1686262716
109	0.1684695087
110	0.1683401396
111	0.1682095659
112	0.1680176273
113	0.1679021081
114	0.1677751329
115	0.1676789966
116	0.1675811759
117	0.1674351993
118	0.1672130525
119	0.1670561464
120	0.166945271
121	0.166888159
122	0.166780103
123	0.1666978972
124	0.166583257
125	0.1665002102
126	0.1664040468
127	0.1662517039
128	0.1661673008
129	0.1659192488
130	0.1657816662
131	0.1655095893
132	0.1653796192
133	0.1652126024
134	0.1650207113
135	0.1649191598
136	0.1648419732
137	0.1646355888
138	0.1644146703
139	0.1643087251
140	0.1642381982
141	0.1641208021
142	0.1640168169
143	0.1639306217
144	0.1638097526
145	0.163706337
146	0.1636148648
147	0.1634977129
148	0.1633601583
149	0.1632629708
150	0.1631946665
151	0.1631241599
152	0.1630654975
153	0.1629502699
154	0.1628541531
155	0.1627612745
156	0.1627127067
157	0.1626405309
158	0.1625038028
159	0.1624395354
160	0.1623885693
161	0.1622584635
162	0.162158894
163	0.162001575
164	0.1619487144
165	0.1619049149
166	0.1618757316
167	0.1617357771
