iter	Passed	Remaining
0	127	127618
1	138	69216
2	149	49823
3	160	39945
4	170	33883
5	181	30003
6	193	27423
7	204	25397
8	216	23826
9	226	22420
10	237	21330
11	248	20432
12	260	19766
13	272	19215
14	286	18791
15	313	19301
16	331	19190
17	343	18738
18	355	18345
19	370	18168
20	383	17865
21	396	17632
22	408	17367
23	423	17236
24	435	16984
25	448	16793
26	459	16549
27	470	16323
28	480	16087
29	493	15958
30	504	15762
31	516	15637
32	527	15469
33	539	15324
34	549	15158
35	560	14997
36	569	14821
37	580	14689
38	590	14538
39	600	14414
40	611	14295
41	620	14150
42	629	14016
43	641	13932
44	651	13827
45	662	13743
46	674	13679
47	686	13621
48	699	13566
49	711	13521
50	724	13478
51	738	13470
52	752	13442
53	766	13421
54	781	13420
55	796	13428
56	809	13391
57	819	13316
58	834	13313
59	846	13264
60	860	13250
61	874	13223
62	885	13165
63	896	13112
64	911	13106
65	925	13096
66	937	13056
67	950	13026
68	963	13000
69	973	12937
70	984	12882
71	995	12826
72	1006	12782
73	1018	12749
74	1031	12725
75	1042	12680
76	1056	12658
77	1068	12632
78	1081	12612
79	1094	12587
80	1105	12541
81	1116	12501
82	1128	12470
83	1141	12448
84	1153	12418
85	1163	12367
86	1175	12331
87	1190	12333
88	1200	12289
89	1213	12269
90	1225	12241
91	1238	12224
92	1251	12206
93	1262	12173
94	1271	12116
95	1281	12066
96	1291	12022
97	1300	11968
98	1311	11931
99	1320	11883
100	1330	11842
101	1340	11797
102	1349	11749
103	1358	11707
104	1367	11659
105	1377	11621
106	1387	11576
107	1397	11542
108	1408	11509
109	1419	11487
110	1431	11461
111	1443	11447
112	1456	11429
113	1468	11410
114	1478	11376
115	1490	11355
116	1500	11327
117	1513	11315
118	1527	11305
119	1539	11290
120	1550	11265
121	1562	11243
122	1574	11229
123	1593	11254
124	1605	11240
125	1616	11211
126	1627	11185
127	1638	11162
128	1650	11144
129	1660	11115
130	1671	11086
131	1681	11055
132	1690	11020
133	1700	10992
134	1710	10961
135	1722	10940
136	1732	10910
137	1742	10887
138	1753	10861
139	1763	10833
140	1774	10808
141	1785	10786
142	1795	10760
143	1805	10731
144	1816	10710
145	1828	10697
146	1839	10673
147	1850	10652
148	1859	10621
149	1869	10596
150	1880	10573
151	1892	10558
152	1903	10539
153	1914	10519
154	1925	10494
155	1935	10469
156	1945	10448
157	1956	10428
158	1968	10410
159	1979	10389
160	1989	10367
161	2001	10352
162	2010	10325
163	2021	10306
164	2032	10284
165	2042	10263
166	2057	10261
167	2069	10250
168	2078	10222
169	2088	10197
170	2098	10173
171	2109	10153
172	2118	10126
173	2127	10097
174	2138	10081
175	2149	10061
176	2159	10042
177	2170	10021
178	2179	9994
179	2189	9975
180	2199	9950
181	2207	9923
182	2217	9900
183	2227	9876
184	2235	9849
185	2245	9827
186	2254	9801
187	2264	9780
188	2274	9758
189	2283	9735
190	2293	9715
191	2303	9693
192	2314	9675
193	2325	9661
194	2336	9645
195	2346	9626
196	2357	9607
197	2367	9590
198	2378	9572
199	2390	9560
200	2401	9547
201	2413	9534
202	2426	9525
203	2438	9515
204	2448	9496
205	2462	9489
206	2472	9473
207	2482	9451
208	2494	9440
209	2504	9419
210	2513	9399
211	2523	9380
212	2532	9358
213	2542	9337
214	2552	9317
215	2561	9296
216	2570	9273
217	2579	9253
218	2588	9232
219	2598	9211
220	2607	9192
221	2617	9172
222	2629	9162
223	2638	9140
224	2648	9122
225	2657	9102
226	2667	9083
227	2676	9064
228	2685	9042
229	2694	9022
230	2704	9002
231	2713	8982
232	2722	8962
233	2731	8942
234	2741	8923
235	2751	8907
236	2773	8929
237	2793	8944
238	2812	8954
239	2823	8942
240	2834	8927
241	2845	8913
242	2856	8899
243	2868	8889
244	2881	8878
245	2894	8872
246	2905	8858
247	2920	8855
248	2932	8845
249	2945	8835
250	2957	8826
251	2968	8811
252	2979	8796
253	3004	8824
254	3022	8829
255	3033	8815
256	3043	8798
257	3053	8780
258	3064	8766
259	3074	8749
260	3085	8735
261	3094	8716
262	3104	8700
263	3114	8683
264	3125	8667
265	3135	8652
266	3146	8637
267	3155	8618
268	3165	8601
269	3174	8582
270	3183	8564
271	3193	8547
272	3203	8530
273	3216	8523
274	3228	8510
275	3239	8497
276	3252	8489
277	3264	8479
278	3276	8467
279	3288	8454
280	3299	8442
281	3310	8428
282	3321	8414
283	3331	8399
284	3342	8386
285	3354	8374
286	3365	8361
287	3375	8344
288	3386	8330
289	3395	8312
